Roll,Pitch,Z,Area
-42,-26,100,0.8749559704121169
-40,-26,100,0.8888693201831631
-38,-26,100,0.9019020781965481
-36,-26,100,0.9142303628038042
-34,-26,100,0.9256780556533991
-32,-26,100,0.9362451567453328
-30,-26,100,0.9461077844311377
-28,-26,100,0.9550898203592815
-26,-26,100,0.963191264529764
-24,-26,100,0.9705882352941176
-22,-26,100,0.9771046143008102
-20,-26,100,0.9829165199013737
-18,-26,100,0.9876717153927439
-16,-26,100,0.9918985558295175
-14,-26,100,0.9950686861570975
-12,-26,100,0.9975343430785488
-10,-26,100,0.9992955265938711
-8,-26,100,1.0
-6,-26,100,1.0
-4,-26,100,0.9994715518759908
-2,-26,100,0.9978862075039634
0,-26,100,0.9954201162585873
2,-26,100,0.9920732781398626
4,-26,100,0.9880218425224591
6,-26,100,0.9830896600317068
8,-26,100,0.9774528800422758
10,-26,100,0.9709353531794962
12,-26,100,0.963537079443368
14,-26,100,0.9554342082085608
16,-26,100,0.9464505901004051
18,-26,100,0.9365862251189008
20,-26,100,0.9260172626387176
22,-26,100,0.9145675532851858
24,-26,100,0.9024132464329752
26,-26,100,0.8893781927074159
28,-26,100,0.8754623921085081
30,-26,100,0.8606658446362515
32,-26,100,0.8451646996653162
34,-26,100,0.828958957195702
36,-26,100,0.8116963184780694
38,-26,100,0.793729082261758
40,-26,100,0.7750572485467676
42,-26,100,0.755328518583759
44,-26,100,0.7350713404967413
46,-26,100,0.7137572661617051
48,-26,100,0.6917385943279901
50,-26,100,0.6688391756209265
52,-26,100,0.6452351594151841
54,-26,100,0.620750396336093
56,-26,100,0.5953848863836534
58,-26,100,0.5693147789325348
60,-26,100,0.5423639246080676
62,-26,100,0.5145323234102519
64,-26,100,0.48599612471375725
-66,-24,100,0.6448828606658447
-64,-24,100,0.6684868768715871
-62,-24,100,0.6913862955786507
-60,-24,100,0.7134049674123657
-58,-24,100,0.7347190417474018
-56,-24,100,0.7551523692090893
-54,-24,100,0.7747049497974282
-52,-24,100,0.7933767835124186
